timestamp,session_id,event,note,engagement,music_style,suggestion,caregiver_action,child_response
2025-08-18T20:04:40.686483,session_1755572638,accept,Session session_1755572638,HIGH,energetic,"Wow, you have so much energy! Let's move to this exciting beat!",accept,
2025-08-18T20:04:42.818492,session_1755572638,accept,Session session_1755572638,HIGH,energetic,"Wow, you have so much energy! Let's move to this exciting beat!",accept,
2025-08-18T20:04:44.952112,session_1755572638,accept,Session session_1755572638,HIGH,energetic,"Wow, you have so much energy! Let's move to this exciting beat!",accept,
